book_x,chapter_number,section_number,engaged,access,book_y,submit,learning_duration,learning_duration_rounded
College / Statistics and Data Science (ABC),1.0,3.0,452.0,2022-12-17 06:17:47,College / Statistics and Data Science (ABC),2022-12-17 23:22:17,0 days 17:04:30,0
College / Statistics and Data Science (ABC),2.0,1.0,0.0,2022-12-17 23:22:55,College / Statistics and Data Science (ABC),2023-01-14 01:36:57,27 days 02:14:02,27
College / Statistics and Data Science (ABC),3.0,1.0,437.0,2023-01-14 01:39:23,College / Statistics and Data Science (ABC),2023-01-18 21:40:03,4 days 20:00:40,4
College / Statistics and Data Science (ABC),4.0,1.0,20530.0,2023-01-18 21:40:10,College / Statistics and Data Science (ABC),2023-01-21 09:13:23,2 days 11:33:13,2
College / Statistics and Data Science (ABC),5.0,1.0,1261.0,2023-01-21 09:27:51,College / Statistics and Data Science (ABC),2023-01-25 08:39:50,3 days 23:11:59,3
College / Statistics and Data Science (ABC),6.0,1.0,0.0,2023-01-25 08:39:56,College / Statistics and Data Science (ABC),2023-02-05 00:52:14,10 days 16:12:18,10
College / Statistics and Data Science (ABC),8.0,1.0,0.0,2023-02-09 05:08:45,College / Statistics and Data Science (ABC),2023-02-16 08:12:18,7 days 03:03:33,7
College / Statistics and Data Science (ABC),9.0,1.0,0.0,2023-02-16 08:12:58,College / Statistics and Data Science (ABC),2023-02-24 05:08:26,7 days 20:55:28,7
College / Statistics and Data Science (ABC),10.0,1.0,2132.0,2023-02-27 03:17:21,College / Statistics and Data Science (ABC),2023-03-04 06:59:42,5 days 03:42:21,5
College / Statistics and Data Science (ABC),11.0,1.0,2498.0,2023-03-04 07:11:39,College / Statistics and Data Science (ABC),2023-03-10 04:57:20,5 days 21:45:41,5
College / Statistics and Data Science (ABC),12.0,1.0,0.0,2023-03-10 04:57:27,College / Statistics and Data Science (ABC),2023-03-20 05:45:17,10 days 00:47:50,10
College / Advanced Statistics and Data Science (ABCD),1.0,3.0,3345.0,2023-04-04 18:28:30,College / Advanced Statistics and Data Science (ABCD),2023-04-10 02:34:15,5 days 08:05:45,5
College / Advanced Statistics and Data Science (ABCD),2.0,1.0,5147.0,2023-04-10 02:34:31,College / Advanced Statistics and Data Science (ABCD),2023-06-07 22:08:31,58 days 19:34:00,58
College / Advanced Statistics and Data Science (ABCD),3.0,1.0,22433.0,2023-04-14 16:45:12,College / Advanced Statistics and Data Science (ABCD),2023-05-23 19:17:33,39 days 02:32:21,39
College / Advanced Statistics and Data Science (ABCD),5.0,2.0,875.0,2023-04-20 03:40:29,College / Advanced Statistics and Data Science (ABCD),2023-04-22 02:42:41,1 days 23:02:12,1
College / Advanced Statistics and Data Science (ABCD),6.0,1.0,11873.0,2023-04-29 20:59:58,College / Advanced Statistics and Data Science (ABCD),2023-06-12 00:07:28,43 days 03:07:30,43
College / Advanced Statistics and Data Science (ABCD),8.0,1.0,31147.0,2023-06-12 00:17:43,College / Advanced Statistics and Data Science (ABCD),2023-06-12 21:48:37,0 days 21:30:54,0
